,True_price,rf_predicted_price,xgb_predicted_price
0,3111.4942528735637,4626.869235140704,3106.0757
1,2627.0553935860057,2893.5600854419963,2840.2512
2,3731.615943674767,3035.3707348964053,3246.3276
3,3458.3490499648137,3753.350485618074,3616.533
4,3291.558394160584,3484.3381861963226,3483.9424
5,2964.9395424836603,3187.2431351781984,3209.1785
6,3296.381459776239,3003.2942093359725,2998.911
7,3012.414786365818,3201.1537452188113,3204.944
8,2361.006195786865,2862.7248572960366,2651.2952
9,3697.3991117976434,3167.7294163112037,3048.703
10,3482.012578616352,3709.335282126808,3605.8503
11,3199.6531645569617,3411.3784494403553,3285.4397
12,3084.1931644278184,3161.925273576591,3270.4692
13,3175.499954918402,3120.3902845943267,3137.754
14,2982.6181365133048,3179.833871572013,3106.0369
15,2413.2363699703883,2799.797316928271,2759.8235
16,3719.768845954804,3147.781620354866,2937.233
17,2854.7599451303163,3615.4733841331204,3320.7297
18,2251.398481973435,2835.0762577077066,2686.613
19,2797.919873245812,2698.257270719966,2866.6523
20,3154.212557518183,2905.3346155120257,2967.7258
21,3324.410937651507,3086.0915780434525,3164.8635
22,2401.8127946127943,2927.9261214199696,2977.9697
23,3151.430306301444,2875.8340925499797,3050.2852
24,3059.264327605721,3145.4870468866143,3183.933
25,2696.84724371949,3007.1177150661006,2917.1594
26,2669.073634204276,2802.9435239334875,2662.0022
27,3020.939139559286,2769.610164643022,2808.9302
28,3315.027818448023,3018.3221727809705,3099.5637
29,2881.1467710371817,2930.2048335229406,3123.5361
30,3722.25158957736,3018.1514680500295,3343.4387
31,3282.1089098192056,3544.4507585100696,3511.2463
32,2913.3723363774734,3097.421996932988,3075.8083
33,2854.442334071963,2891.942496750285,2907.7983
34,3443.0197444831592,2906.677408769837,2968.1958
35,4042.675736961452,3457.087538228474,3824.209
36,4173.269706610109,4044.765473034175,3884.2278
37,0.0,3738.6583951961693,1187.0314
38,0.0,2764.9291122165228,1760.6959
39,0.0,3409.170766672719,1443.7522
40,3961.334730957373,3229.2912699159947,3533.172
41,3823.063146723269,3965.9955505142634,3934.5508
42,4052.258611552729,3696.456740903371,3848.4724
43,4308.874881065652,4072.753807554836,4124.712
44,3640.312022025084,3944.038791480561,3692.4612
45,3760.0590905815375,3702.1403058531,3716.9268
46,3955.756891523192,3827.0920688933784,3762.391
47,4516.34557038835,4016.706619335777,4095.521
48,4592.299365434864,4467.396864952944,4091.398
49,3806.523844105544,4455.405972094818,4042.375
50,3252.060903968349,3674.511533633507,3473.5554
51,3751.1809720785936,3272.0292312793677,3255.5872
52,3900.2363112391936,3707.321132636749,3719.7764
53,4032.104575163399,4096.190000029519,4022.787
54,4148.390506788267,4067.8557951215744,4096.0957
55,4385.416773531674,4243.813383027733,4153.5796
56,4043.526941917425,4321.299176511994,4314.7935
57,3735.8213155117833,4075.718805638043,4113.4917
58,4321.04731095835,3811.2299791262403,3929.9219
59,4488.239046034387,4283.020313491245,4286.138
60,4533.502349256069,4522.2434771600865,4654.0566
61,4227.704799711295,4459.41412566425,4590.6187
62,3879.5925531914895,4152.559479113087,4118.2544
63,3897.3589822194976,3934.7978589214467,3925.253
64,4236.899357601714,3973.442726141006,3946.0146
65,4043.913273400317,4005.176090861874,4048.861
66,4196.504642271982,4176.114296342117,4176.3574
67,4300.773308387901,4309.117172842333,4221.5073
68,4609.571350314982,4279.998244575814,4212.676
69,4986.206533192835,4484.100305219464,4581.3066
70,4810.177215189872,4795.8315081138335,4731.1113
71,4746.531997414351,4762.144340836698,4857.705
72,4270.812897366031,4713.684499572436,4603.9263
73,4563.529058717615,4361.533154198598,4290.615
74,4731.633758839195,4521.788283439324,4606.499
75,4621.100836635844,4773.546276874443,4765.104
76,4738.274216967434,4508.24158381485,4590.557
77,4895.9294436906375,4772.592504848044,4765.104
78,4934.87764314564,4798.2433902782095,4780.535
79,4736.092055982653,4835.561994726286,4742.5303
80,4814.8678658672,4835.5281573869715,4833.283
81,5000.000000000001,4870.291752565882,4912.9165
82,5110.0,4965.108203905312,5017.1143
83,5170.0,5100.912355626558,5049.6436
84,5150.0,5152.343829951955,5158.074
85,5170.0,5096.153128905745,5169.585
86,5600.0,5084.391439452045,5060.641
87,5357.590822179733,5276.1857413494545,5296.271
88,5050.774522595185,5133.296612767366,5062.094
89,4860.0,4920.293764392455,4971.105
90,4820.0,4824.004324693277,4887.771
91,4990.0,4830.603859624872,4850.8457
92,5060.000000000001,4912.509167068157,4987.295
93,4780.0,4883.635674789735,4795.9307
94,4810.000000000001,4816.450674188982,4885.4517
95,4760.0,4817.283240823111,4841.4536
96,4614.649064682196,4805.036352142644,4825.365
97,4454.815274117708,4481.648851038484,4589.705
98,4300.0,4448.628481454206,4589.705
99,4210.0,4321.113980535808,4269.754
100,4360.0,4117.699854992881,4140.759
101,4340.0,4323.749312277535,4306.2324
102,4270.000000000001,4280.498471818671,4274.025
103,4220.0,4249.786973177626,4162.685
104,4279.999999999999,4197.920972070721,4133.589
105,4380.0,4253.352476325096,4167.946
106,4390.0,4310.029576198579,4306.258
107,4220.000000000001,4258.894875942604,4203.213
108,4050.0,4181.607913919155,4121.3403
109,3780.000000000001,4079.9486160004262,4062.3535
110,3680.0,3793.132961377194,3821.6082
111,3770.0,3748.1178063238394,3717.9077
112,3880.0,3776.045036607813,3705.8918
113,3890.0,3945.516244535407,3941.4436
114,3540.0,3787.0385554919035,3820.5852
115,3670.0,3575.0346930313517,3576.104
116,3700.0,3677.0555496118473,3671.3394
117,3540.0,3683.49287264405,3671.3394
118,3520.0000000000005,3611.1200724462183,3588.6387
119,3665.152788821992,3606.3414782349428,3549.905
120,3764.239642924498,3677.172066165479,3692.101
121,3523.971726103903,3706.19943816345,3560.4985
122,3547.2364100693185,3488.1561203557926,3539.1096
123,3378.3188842819445,3496.2714601845514,3589.5369
124,3212.2303098170964,3351.038840580253,3316.1956
125,3178.8480756245776,3180.2340443296557,3141.7769
126,3204.847449353185,3163.069871252136,3211.6194
