,DATE,True_price,rf_predicted_price,xgb_predicted_price
0,2016-01-02,9838.807947019868,3163.7795643256923,3738.786
1,2016-01-03,9838.807947019868,8991.970078803599,8322.244
2,2016-01-04,6957.639724849526,8991.970078803599,7785.577
3,2016-01-05,6717.526772055073,6631.424355483265,6240.22
4,2016-01-06,5907.503201024327,6024.48796549925,5595.6885
5,2016-01-07,4543.836222796016,5753.758883615333,5041.7837
6,2016-01-08,3443.1763797761487,4295.73743031834,4072.3254
7,2016-01-09,3045.799236224768,3475.8801401974033,3301.5688
8,2016-01-10,2937.911578947368,2996.0235548877135,2900.9958
9,2016-01-11,2940.369913686807,2855.597169903459,2749.6575
10,2016-01-12,2711.0845986984814,2866.582544696337,2776.7808
11,2016-01-13,2407.792946530148,2666.8572329578337,2507.3076
12,2016-01-14,2520.2582582582586,2346.483272342473,2231.8943
13,2016-01-15,2886.269781461944,2611.949494737846,2412.5764
14,2016-01-16,3232.9100979974432,2853.5273074093216,2722.0159
15,2016-01-17,3354.7562474395736,3378.9216550897518,3298.2217
16,2016-01-18,3714.7882454624023,3463.0182418655495,3353.21
17,2016-01-19,4193.25439453125,3541.1793371372974,3395.7961
18,2016-01-20,4220.018435607059,4115.137040033629,3796.1082
19,2016-01-21,3232.7634383139944,4027.854304617974,3830.506
20,2016-01-22,3050.546792849632,3299.6985604983797,3201.646
21,2016-01-23,3278.33237492812,2934.6636872149957,2806.2744
22,2016-01-24,3194.7658298988395,3295.1598763745856,3193.2756
23,2016-01-25,3283.5209580838323,3204.7861033238387,3076.095
24,2016-01-26,3444.225630875804,3289.883940350443,3162.1323
25,2016-01-27,3613.8888888888896,3452.6927914344724,3279.6592
26,2016-01-28,3898.640467339352,3537.9358432483173,3354.7766
27,2016-01-29,4394.844357976655,3915.968114631931,3734.5847
28,2016-01-30,5275.339082712663,4264.3294223638595,4183.447
29,2016-01-31,5753.232007152436,5400.958600502395,4965.23
30,2016-02-01,4977.006197790352,5420.075728885677,4795.369
31,2016-02-02,4342.676099661642,4852.686774704107,4580.412
32,2016-02-03,3772.041360907271,4223.725383466421,4021.8015
33,2016-02-04,4027.066504706954,3668.8389749083067,3468.9385
34,2016-02-05,4587.889884088515,3991.63757489673,3780.233
35,2016-02-06,4960.267927501971,4220.717851201857,4033.6428
36,2016-02-07,4931.9500164419605,4753.148546033817,4536.496
37,2016-02-08,6157.500000000001,4702.393599403309,4494.5845
38,2016-02-09,0.0,5302.0871759719375,960.54065
39,2016-02-10,3459.0,3256.771208478132,3255.2786
40,2016-02-11,4126.719501839796,3600.433481046071,3428.3772
41,2016-02-12,3676.736986301369,4062.4079567334848,3815.2515
42,2016-02-13,2781.897123893805,3465.6203326531495,3269.4368
43,2016-02-14,2416.40983153825,2760.632327592796,2597.5925
44,2016-02-15,1687.918918918919,2350.4172303607334,2277.6338
45,2016-02-16,1530.034778576397,1799.7986610658224,1640.4812
46,2016-02-17,1222.1041035527403,1394.5305465961305,1449.9573
47,2016-02-18,1097.4588446572882,1379.631455062329,1251.7599
48,2016-02-19,1300.2492421690806,1379.631455062329,1245.8165
49,2016-02-20,1628.47409733124,1379.631455062329,1330.708
50,2016-02-21,1823.0989370400653,1720.9147197210102,1564.4418
51,2016-02-22,1876.4359861591695,1806.302010848502,1718.988
52,2016-02-23,1996.682840758712,1842.515049286672,1797.5636
53,2016-02-24,1990.5596669750232,1936.962243635072,1883.1127
54,2016-02-25,1725.4263157894736,1925.7777189662663,1881.0255
55,2016-02-26,1675.070217917675,1804.5595460007507,1665.5968
56,2016-02-27,1840.9815950920247,1799.7986610658224,1640.4812
57,2016-02-28,1911.3013221990257,1813.4507929810927,1726.0035
