,DATE,True_price,rf_predicted_price,xgb_predicted_price
0,2016-01-02,1993.4814814814813,1094.4582166389675,1298.8528
1,2016-01-03,1993.4814814814813,1831.0639084021325,1991.3665
2,2016-01-04,2013.933588761175,1831.0639084021325,2012.3381
3,2016-01-05,1911.3016194331983,1934.5459347036822,1970.8539
4,2016-01-06,1877.8602069139536,1908.6571030226314,1909.408
5,2016-01-07,2143.7669630322875,1882.3455628993356,1878.9415
6,2016-01-08,2177.1758021390374,2134.4816602750593,2140.3562
7,2016-01-09,2277.5605214152706,2161.9701371491333,2166.0452
8,2016-01-10,2384.2138488853816,2304.4819723274613,2347.8018
9,2016-01-11,2270.630031501575,2373.759752476204,2378.1094
10,2016-01-12,2219.2523158359063,2259.0451921404087,2243.8777
11,2016-01-13,2382.4308144131933,2269.5954998967327,2269.9966
12,2016-01-14,2714.254593175853,2361.5901858479574,2414.5269
13,2016-01-15,2661.423804226919,2717.4403919179026,2713.9456
14,2016-01-16,2759.27869792787,2716.7527772388157,2706.884
15,2016-01-17,2958.0920502092044,2719.3409788860763,2723.2314
16,2016-01-18,2637.146368104861,2831.365411928888,2815.487
17,2016-01-19,2914.6691023831268,2754.6916752090724,2759.366
18,2016-01-20,3036.0954195311847,3002.350438853946,2983.2405
19,2016-01-21,2974.9781414639606,3067.953636978688,3043.9758
20,2016-01-22,3249.469186689454,3073.250580124315,3015.408
21,2016-01-23,3149.1050467289724,3258.274268468285,3191.904
22,2016-01-24,3074.407802131509,3148.2369624818016,3162.7976
23,2016-01-25,3096.7408525084875,3129.029609486455,3117.3777
24,2016-01-26,3099.379969112853,3099.8155740837374,3080.654
25,2016-01-27,3090.584330923314,3125.2337102513625,3117.3772
26,2016-01-28,3078.7291062301424,3135.3673349847486,3152.748
27,2016-01-29,3433.239750445633,2955.038407917551,3122.1323
28,2016-01-30,3541.881529666864,3396.1380779502647,3435.9783
29,2016-01-31,3630.3784235835246,3524.454297529503,3547.7068
30,2016-02-01,3319.201855251715,3569.3130592472935,3488.092
31,2016-02-02,3188.50341997264,3281.428933291079,3271.414
32,2016-02-03,3201.9583830063943,3209.734886092558,3182.3623
33,2016-02-04,3386.6689555199514,3252.6707727861835,3247.195
34,2016-02-05,3519.460802818673,3296.86542262065,3354.074
35,2016-02-06,3322.0986223767222,3478.7658150302404,3373.86
36,2016-02-07,2965.594422700587,3228.8130463146917,3154.413
37,2016-02-08,2670.0,2712.073457454572,2714.4114
38,2016-02-09,0.0,2349.1640953680044,157.62173
39,2016-02-10,0.0,1443.5844832060254,394.42316
40,2016-02-11,3270.814615627966,1548.2532739952212,2960.8235
41,2016-02-12,2908.073883939806,3122.842191138141,3108.1433
42,2016-02-13,2897.456234369418,2917.95286512965,2928.0667
43,2016-02-14,2837.610219308162,2898.5821209033516,2879.0532
44,2016-02-15,3078.8316505254484,2928.56773375584,2902.7822
45,2016-02-16,3358.7515917327846,3109.5234514279414,3097.7546
46,2016-02-17,3291.4818241184144,3249.877097122918,3235.621
47,2016-02-18,3122.4813538075846,3258.4137758824495,3256.8572
48,2016-02-19,3131.355399855038,3148.712867433114,3128.8547
49,2016-02-20,3239.572145819691,3188.6794874478096,3212.6948
50,2016-02-21,3460.8366508283043,3283.833147773365,3267.6326
51,2016-02-22,3299.349798906879,3388.5369015722918,3361.0903
52,2016-02-23,3325.19830476311,3244.17028685,3226.9497
53,2016-02-24,3284.737685805888,3334.172168902288,3373.174
54,2016-02-25,3329.671667138409,3295.3546565012384,3326.3933
55,2016-02-26,3387.390591930088,3332.5867559964145,3372.186
56,2016-02-27,3299.964210690111,3343.505324118334,3336.6208
57,2016-02-28,3273.348851644941,3316.8344301797747,3322.8691
58,2016-02-29,3283.2686398817623,3311.3449841673137,3319.9539
59,2016-03-01,3257.9371049469787,3289.8956590359307,3314.923
60,2016-03-02,3390.1193705914256,3299.9577970587975,3280.346
61,2016-03-03,3559.513069627573,3363.525970584799,3377.7312
62,2016-03-04,3601.228503706692,3577.50992283122,3583.4817
63,2016-03-05,3599.9008852963816,3592.7385131145816,3571.4302
64,2016-03-06,3661.419957495181,3603.392753117098,3556.6846
65,2016-03-07,3746.362295521588,3748.4026578421963,3685.926
66,2016-03-08,3728.592333499893,3686.762986607382,3696.178
