,DATE,True_price,rf_predicted_price,xgb_predicted_price
0,2016-01-02,3111.4942528735637,4667.159303042943,3106.0757
1,2016-01-03,2627.0553935860057,2942.454837402717,2840.2512
2,2016-01-04,3731.615943674767,3052.4169658934743,3246.3276
3,2016-01-05,3458.3490499648137,3750.035276019757,3616.533
4,2016-01-06,3291.558394160584,3504.5860480832503,3483.9424
5,2016-01-07,2964.9395424836603,3152.775359682743,3209.1785
6,2016-01-08,3296.381459776239,2979.171496081103,2998.911
7,2016-01-09,3012.414786365818,3171.0554048176473,3204.944
8,2016-01-10,2361.006195786865,2849.794097244529,2651.2952
9,2016-01-11,3697.3991117976434,3200.2067250914306,3048.703
10,2016-01-12,3482.012578616352,3701.7710592933327,3605.8503
11,2016-01-13,3199.6531645569617,3413.1690100448764,3285.4397
12,2016-01-14,3084.1931644278184,3136.176814738998,3270.4692
13,2016-01-15,3175.499954918402,3116.441932091336,3137.754
14,2016-01-16,2982.6181365133048,3183.3965057784353,3106.0369
15,2016-01-17,2413.2363699703883,2807.980703013805,2759.8235
16,2016-01-18,3719.768845954804,3149.7447091160784,2937.233
17,2016-01-19,2854.7599451303163,3635.9578981118684,3320.7297
18,2016-01-20,2251.398481973435,2822.393682983954,2686.613
19,2016-01-21,2797.919873245812,2639.9756957879954,2866.6523
20,2016-01-22,3154.212557518183,2899.37173012099,2967.7258
21,2016-01-23,3324.410937651507,3076.591852039209,3164.8635
22,2016-01-24,2401.8127946127943,2983.67677593063,2977.9697
23,2016-01-25,3151.430306301444,2841.201257536916,3050.2852
24,2016-01-26,3059.264327605721,3081.0156389132662,3183.933
25,2016-01-27,2696.84724371949,3002.810151303386,2917.1594
26,2016-01-28,2669.073634204276,2787.3790975503107,2662.0022
27,2016-01-29,3020.939139559286,2757.4602499455054,2808.9302
28,2016-01-30,3315.027818448023,3009.0698578161987,3099.5637
29,2016-01-31,2881.1467710371817,2962.152757423836,3123.5361
30,2016-02-01,3722.25158957736,3020.035051252643,3343.4387
31,2016-02-02,3282.1089098192056,3593.9034056658656,3511.2463
32,2016-02-03,2913.3723363774734,3098.084831493988,3075.8083
33,2016-02-04,2854.442334071963,2873.835761140602,2907.7983
34,2016-02-05,3443.0197444831592,2919.862458434873,2968.1958
35,2016-02-06,4042.675736961452,3503.848430689185,3824.209
36,2016-02-07,4173.269706610109,4012.144859999649,3884.2278
37,2016-02-08,0.0,3749.696768850508,1187.0314
38,2016-02-09,0.0,2733.7417318261696,1760.6959
39,2016-02-10,0.0,3415.20332507156,1443.7522
40,2016-02-11,3961.334730957373,3205.719075220775,3533.172
41,2016-02-12,3823.063146723269,3975.9782231679656,3934.5508
42,2016-02-13,4052.258611552729,3735.28342860913,3848.4724
43,2016-02-14,4308.874881065652,4030.5901974540066,4124.712
44,2016-02-15,3640.312022025084,3915.409824813379,3692.4612
45,2016-02-16,3760.0590905815375,3688.421867819535,3716.9268
46,2016-02-17,3955.756891523192,3802.3514924848296,3762.391
47,2016-02-18,4516.34557038835,4015.2592592481965,4095.521
48,2016-02-19,4592.299365434864,4473.87753562034,4091.398
49,2016-02-20,3806.523844105544,4470.505944819522,4042.375
50,2016-02-21,3252.060903968349,3682.368926723556,3473.5554
51,2016-02-22,3751.1809720785936,3274.172725513982,3255.5872
52,2016-02-23,3900.2363112391936,3714.7357411207654,3719.7764
53,2016-02-24,4032.104575163399,4117.0428314901255,4022.787
54,2016-02-25,4148.390506788267,4083.910395189798,4096.0957
55,2016-02-26,4385.416773531674,4263.963821046417,4153.5796
56,2016-02-27,4043.526941917425,4327.765939610702,4314.7935
57,2016-02-28,3735.8213155117833,4052.741508861062,4113.4917
58,2016-02-29,4321.04731095835,3781.658558166472,3929.9219
59,2016-03-01,4488.239046034387,4292.46123991142,4286.138
60,2016-03-02,4533.502349256069,4522.218249416277,4654.0566
61,2016-03-03,4227.704799711295,4480.732926632899,4590.6187
62,2016-03-04,3879.5925531914895,4129.755807467372,4118.2544
63,2016-03-05,3897.3589822194976,3943.782442689647,3925.253
64,2016-03-06,4236.899357601714,3984.9426253055744,3946.0146
65,2016-03-07,4043.913273400317,4063.532483478433,4048.861
66,2016-03-08,4196.504642271982,4185.957113780622,4176.3574
67,2016-03-09,4300.773308387901,4297.349462812536,4221.5073
68,2016-03-10,4609.571350314982,4291.91491284111,4212.676
69,2016-03-11,4986.206533192835,4484.951825508705,4581.3066
70,2016-03-12,4810.177215189872,4757.569570532318,4731.1113
71,2016-03-13,4746.531997414351,4796.323471023353,4857.705
72,2016-03-14,4270.812897366031,4755.129544061294,4603.9263
73,2016-03-15,4563.529058717615,4343.292744961377,4290.615
74,2016-03-16,4731.633758839195,4542.067849588305,4606.499
75,2016-03-17,4621.100836635844,4785.987135397722,4765.104
76,2016-03-18,4738.274216967434,4523.668650435604,4590.557
77,2016-03-19,4895.9294436906375,4795.619904941156,4765.104
78,2016-03-20,4934.87764314564,4778.580446820596,4780.535
79,2016-03-21,4736.092055982653,4805.959793481084,4742.5303
80,2016-03-22,4814.8678658672,4849.088078518031,4833.283
81,2016-03-23,5000.000000000001,4888.966173952244,4912.9165
82,2016-03-24,5110.0,4989.547936415537,5017.1143
83,2016-03-25,5170.0,5108.545636312018,5049.6436
84,2016-03-26,5150.0,5153.18477156495,5158.074
85,2016-03-27,5170.0,5102.690042830994,5169.585
86,2016-03-28,5600.0,5075.369718384125,5060.641
87,2016-03-29,5357.590822179733,5257.748311782594,5296.271
88,2016-03-30,5050.774522595185,5099.369744374293,5062.094
89,2016-03-31,4860.0,4936.414003883725,4971.105
