,DATE,True_price,rf_predicted_price,xgb_predicted_price
0,2016-01-02,2541.987577639752,1274.6648498981397,1373.6312
1,2016-01-03,2541.987577639752,2349.361459762425,2140.678
2,2016-01-04,2208.0081602373884,2349.361459762425,2138.9006
3,2016-01-05,2256.1977759301603,2177.931340056857,2114.8506
4,2016-01-06,2350.056679118897,2212.388230103477,2122.3633
5,2016-01-07,2524.6385968459367,2346.176241359356,2238.4336
6,2016-01-08,2423.831667947733,2482.446302676606,2382.8457
7,2016-01-09,2357.7178552837067,2426.8823739131144,2313.9658
8,2016-01-10,2505.216796788849,2355.6456184451886,2233.278
9,2016-01-11,2220.4298514233865,2431.358159816913,2298.2175
10,2016-01-12,2289.398047722342,2224.035078166476,2132.809
11,2016-01-13,2416.5694206096264,2296.9718449910765,2166.9053
12,2016-01-14,2510.609424441974,2370.189325633465,2245.5369
13,2016-01-15,2446.477981814941,2499.164475609863,2324.2148
14,2016-01-16,2442.101108814133,2429.5416005276575,2298.399
15,2016-01-17,2537.7784809125283,2426.8342780569997,2376.5808
16,2016-01-18,2770.9102031169627,2520.4520443245983,2474.689
17,2016-01-19,3198.812494902536,2832.21653445996,2770.075
18,2016-01-20,3537.681084914023,3151.368092843358,3200.6882
19,2016-01-21,3263.773459924928,3160.2909372357126,3184.4438
20,2016-01-22,3253.8780436972447,3139.7280317894856,3102.8403
21,2016-01-23,3664.228248240788,3130.4910287572607,3084.2898
22,2016-01-24,4143.102567519545,3334.60442461457,3495.8257
23,2016-01-25,3001.7813572245523,4152.505014550208,3282.476
24,2016-01-26,3860.935623813765,3124.6948565873104,3308.5027
25,2016-01-27,3797.318292160502,3535.983032660827,3517.5942
26,2016-01-28,3721.627817819353,3557.5587099277664,3594.685
27,2016-01-29,4099.1085453447,3529.896633107814,3628.4167
28,2016-01-30,4594.73070767518,4211.973905334504,4011.3098
29,2016-01-31,4889.828493025383,4427.192878631774,4216.38
30,2016-02-01,4901.031050011851,4473.921690095525,4253.8306
31,2016-02-02,4606.545980733425,4469.941790049812,4200.7754
32,2016-02-03,4143.724125659833,4403.512816064678,4170.5454
33,2016-02-04,4107.091695331695,4233.328120467011,3965.4138
34,2016-02-05,4363.259449500307,4119.860919302377,3856.3293
35,2016-02-06,4734.681417521137,4220.598278926664,4045.2112
36,2016-02-07,5001.476149596074,4307.371358578216,4031.0193
37,2016-02-08,2632.9090909090905,4253.383053314963,3794.4626
38,2016-02-09,0.0,2421.9375262307185,722.7275
39,2016-02-10,0.0,1477.795657929431,1575.3932
40,2016-02-11,4285.827348463085,1978.7126935663903,3390.9236
41,2016-02-12,4290.164634652069,4213.012821016235,3989.2964
42,2016-02-13,3998.305413935421,4150.422905144445,3959.932
43,2016-02-14,3880.6182784361695,4010.872804295943,3686.098
44,2016-02-15,2970.3994315206824,3436.408276739907,3320.5225
45,2016-02-16,2690.9559144478394,2908.8347567727737,2705.9277
46,2016-02-17,3215.3942513109346,2734.628867833349,2527.9004
47,2016-02-18,3240.892631578948,3052.877996651713,2957.4788
48,2016-02-19,3041.2841418671014,3047.864281974376,2957.4788
49,2016-02-20,2673.953063023358,3010.043147089041,2852.0503
50,2016-02-21,2469.570369293399,2724.384027189477,2519.892
51,2016-02-22,2262.5149199036755,2383.915536320198,2214.0527
52,2016-02-23,2550.5225601649618,2207.2930185099062,2086.3076
53,2016-02-24,2528.095999360537,2554.1901944156966,2430.2666
54,2016-02-25,2420.632283819458,2519.6253774795446,2430.2666
55,2016-02-26,2190.2592165898623,2432.4631452675903,2316.5298
56,2016-02-27,1859.9603567889,2203.4735815455037,2082.7969
57,2016-02-28,1752.8946222512518,1834.98635569655,1766.5951
58,2016-02-29,2055.89044321982,1782.202886678111,1669.1667
59,2016-03-01,2089.0581212692427,2019.5206577222434,1994.6941
60,2016-03-02,2188.6396967949245,2094.514166886158,2056.805
61,2016-03-03,2310.950425344676,2162.6379070704006,2080.2327
62,2016-03-04,2389.0892933314376,2263.4710350176397,2164.9001
63,2016-03-05,2387.3698830409357,2315.052975235734,2183.977
64,2016-03-06,2390.1208765499487,2320.4992060207824,2180.939
65,2016-03-07,2217.664211359348,2380.2888706968747,2233.2795
66,2016-03-08,2201.699584199585,2192.792369186548,2117.6584
67,2016-03-09,2156.6370270950424,2187.6184254568075,2118.8345
68,2016-03-10,2117.3996294008643,2129.2200672596487,2040.4701
69,2016-03-11,2026.4602126288655,2105.0786217776845,2035.1154
70,2016-03-12,2018.1998329663656,1942.621162630834,1927.1162
71,2016-03-13,2093.7146712114754,1938.1114810673844,1927.5464
72,2016-03-14,1923.2317636195748,2083.9979022313173,2035.7512
73,2016-03-15,1884.724581724582,1866.962394258994,1806.7233
74,2016-03-16,1816.8313953488373,1851.0519869102704,1804.8175
75,2016-03-17,1757.7033771419062,1801.3926193040534,1699.686
76,2016-03-18,1673.4858872762888,1771.40889098241,1659.8378
77,2016-03-19,1723.4015431063403,1762.3544598219328,1643.9315
78,2016-03-20,1841.685488424619,1763.6335200805559,1641.642
79,2016-03-21,1946.5145471609571,1834.2357247154835,1758.3889
80,2016-03-22,1929.329796868935,1868.432550137723,1812.3883
81,2016-03-23,1958.2506887052343,1866.962394258994,1806.7233
82,2016-03-24,1875.8712991753407,1868.432550137723,1812.3883
83,2016-03-25,1704.4699560332192,1841.6671950769617,1778.6265
84,2016-03-26,1512.0056031641398,1761.559084443767,1647.6527
85,2016-03-27,1354.613099448295,1703.442809965839,1559.387
86,2016-03-28,1558.671574903969,1212.413589183804,1276.0737
87,2016-03-29,1727.035464005097,1744.493804584391,1571.1506
88,2016-03-30,1877.8199052132704,1769.89783250048,1646.8895
89,2016-03-31,1815.968349660889,1845.1197800041232,1778.6265
90,2016-04-01,1846.9916517590937,1801.3926193040534,1699.686
91,2016-04-02,1912.210629279426,1831.6667459978657,1737.891
92,2016-04-03,1917.906819716408,1866.6364759673818,1783.2278
93,2016-04-04,2219.598249801114,1867.4012561573923,1812.078
94,2016-04-05,2159.431864965006,2192.1884643536537,2113.4795
95,2016-04-06,2124.040546911834,2129.2200672596487,2035.1154
96,2016-04-07,2340.4463276836154,2109.3588333270172,2014.0477
97,2016-04-08,2243.464052287581,2304.777690826352,2164.1497
98,2016-04-09,1935.920695274308,2185.221889128558,2053.1313
99,2016-04-10,1825.6703182055296,1866.6364759673818,1778.2373
100,2016-04-11,1837.7747126436784,1822.3268421705384,1717.3466
101,2016-04-12,1866.7676767676764,1829.2846551847272,1771.6573
102,2016-04-13,1893.9554917444364,1836.8772357529392,1740.6896
103,2016-04-14,2110.838150289018,1846.3649345195447,1792.3136
104,2016-04-15,2257.104722792608,2100.8354710660074,2011.8893
105,2016-04-16,2113.410852713178,2217.135181943274,2097.766
106,2016-04-17,2085.4059405940598,2103.8080141585824,2011.6836
107,2016-04-18,2025.8648849294727,2073.4313245883573,2014.7213
108,2016-04-19,2023.3333333333333,1944.9368072696127,1912.1709
109,2016-04-20,2099.116279069768,1945.8293500202406,1925.9414
110,2016-04-21,2114.5176470588235,2092.803143674543,2014.8153
