,DATE,True_price,rf_predicted_price,xgb_predicted_price
0,2016-01-02,810.3448275862069,421.2936819192879,325.58054
1,2016-01-03,810.3448275862069,831.8556173371958,810.666
2,2016-01-04,1153.4522291208252,836.4174859250867,810.666
3,2016-01-05,1160.122271819661,1194.65072225357,1130.0392
4,2016-01-06,1176.0872921453415,1198.2392068524161,1130.0392
5,2016-01-07,1222.51067961165,1200.2935634176176,1164.0542
6,2016-01-08,1190.584526073466,1253.078071833429,1188.3567
7,2016-01-09,1182.330184683938,1233.5853083390539,1178.5933
8,2016-01-10,1190.6650922671352,1215.177520509742,1174.2593
9,2016-01-11,1140.473653178433,1222.1094857367418,1180.5392
10,2016-01-12,1120.3146137855945,1174.530543841134,1130.2806
11,2016-01-13,1119.689100086399,1166.9888529266582,1114.0879
12,2016-01-14,1108.80548774095,1147.0878032056855,1111.7675
13,2016-01-15,1107.9896833357216,1161.2945443784524,1099.3452
14,2016-01-16,1109.3733376341129,1156.9570458626542,1094.4496
15,2016-01-17,1109.364146847229,1160.4689118018905,1111.2976
16,2016-01-18,1167.5224135774154,1163.1649669003682,1111.2976
17,2016-01-19,1173.819391291744,1233.252051259661,1131.9851
18,2016-01-20,1158.552877131964,1173.2033745396106,1121.6511
19,2016-01-21,1166.6627799084497,1166.2546479988139,1133.0399
20,2016-01-22,1203.3084643320135,1321.0038268083176,1133.0399
21,2016-01-23,1262.450206058368,1226.184454500608,1192.8807
22,2016-01-24,1304.1582283474922,1282.3668710412767,1252.879
23,2016-01-25,1309.6293211426828,1309.2982482096863,1267.3219
24,2016-01-26,1277.7368045068588,1304.4630968887886,1265.9038
25,2016-01-27,1250.408269304727,1285.1669700712982,1252.879
26,2016-01-28,1337.6640240851252,1283.2657792591824,1252.879
27,2016-01-29,1353.4880925306215,1323.7450477766556,1288.2861
28,2016-01-30,1336.4615330060444,1324.6159118814476,1288.2861
29,2016-01-31,1237.7010332053155,1319.6898703466861,1289.4497
30,2016-02-01,1229.274393091196,1255.0485287045726,1192.8807
31,2016-02-02,1291.8267348768013,1236.1335617593243,1192.8807
32,2016-02-03,1243.6263113484376,1299.1861933779746,1266.286
33,2016-02-04,1226.7210910911226,1242.179943749063,1215.3801
34,2016-02-05,1222.073671544971,1235.5708841556648,1190.9348
35,2016-02-06,1217.0066501240697,1234.9824106450005,1190.9348
36,2016-02-07,1200.5818645147588,1206.4737908110212,1190.9348
37,2016-02-08,1085.25965379494,1163.0459392176513,1183.8086
38,2016-02-09,0.0,1156.3965890063487,268.7128
39,2016-02-10,0.0,450.83391391197205,535.7248
40,2016-02-11,1181.9573362837762,511.7943194897937,741.9603
41,2016-02-12,1197.644478705906,1198.3721513312535,1174.3866
42,2016-02-13,1223.4158499363486,1214.2233784721402,1183.8086
43,2016-02-14,1241.786730856025,1224.591256860841,1190.9348
44,2016-02-15,1259.808684361657,1245.8063085537608,1213.4342
45,2016-02-16,1233.7606536053286,1283.4599934457485,1250.4061
46,2016-02-17,1254.260510448501,1237.1505909133673,1192.8807
47,2016-02-18,1241.6911945528882,1283.391664596286,1252.879
48,2016-02-19,1212.2467131172375,1245.1332959408862,1197.1521
49,2016-02-20,1251.7127709831504,1225.4052179316238,1192.8807
50,2016-02-21,1262.542693274332,1283.1506015282437,1252.879
51,2016-02-22,1326.3332872093276,1286.0292324304826,1251.4609
52,2016-02-23,1325.6512024918384,1324.2574725238853,1288.2861
53,2016-02-24,1354.7359584142057,1324.7024762389165,1289.4497
54,2016-02-25,1361.6356583851402,1333.4798717691315,1289.4497
55,2016-02-26,1365.9107224289853,1377.530740244026,1346.1697
56,2016-02-27,1384.6024783419232,1389.7854776551578,1346.1697
57,2016-02-28,1369.553773564945,1399.3206496100966,1353.6548
58,2016-02-29,1352.8777751709165,1376.1936419375008,1346.1697
59,2016-03-01,1385.100208422933,1327.5488461078587,1289.4497
60,2016-03-02,1433.0990521839412,1408.7103882840831,1380.9229
61,2016-03-03,1431.8788482433902,1435.6514352055012,1416.3147
62,2016-03-04,1441.3618851200144,1440.2348277904064,1416.3147
63,2016-03-05,1471.5663182688058,1448.3096758856161,1426.7476
64,2016-03-06,1483.4387073494856,1442.8157240484954,1426.7476
65,2016-03-07,1674.4729181673754,1453.7225876853472,1439.9634
66,2016-03-08,1640.4478237191572,1780.7642554710228,1590.4055
67,2016-03-09,1594.4696388528268,1768.147066095736,1581.4817
68,2016-03-10,1575.9787774643555,1595.2461183361113,1527.6595
69,2016-03-11,1539.3898316921577,1562.4570499501642,1513.9993
70,2016-03-12,1492.161257161862,1553.0496140896357,1513.9993
71,2016-03-13,1480.7188909619065,1453.7225876853472,1439.9634
72,2016-03-14,1447.1139266798214,1444.085404982386,1427.9111
73,2016-03-15,1461.6634060218544,1443.0441389498512,1427.9111
74,2016-03-16,1457.0989979077196,1443.0441389498512,1427.9111
75,2016-03-17,1428.224974200206,1441.7744580159606,1427.9111
76,2016-03-18,1392.236686960079,1421.7056559279727,1380.9229
77,2016-03-19,1409.286040386304,1418.649091897979,1380.9229
78,2016-03-20,1426.1251042887768,1415.1704380583171,1380.9229
79,2016-03-21,1409.71994149061,1413.9007571244265,1380.9229
80,2016-03-22,1430.6956551988033,1415.1704380583171,1379.868
81,2016-03-23,1416.6397063232444,1422.9251374012977,1395.8727
82,2016-03-24,1366.568471006147,1418.3869455404397,1379.868
83,2016-03-25,1347.511220674514,1390.1391628823278,1345.1149
84,2016-03-26,1305.5438887163027,1326.7927234310755,1288.3949
85,2016-03-27,1264.9179294160474,1311.4865551439204,1266.2671
