               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028071,             0.04554,            0.017842,             0.64385,             0.46679,             0.46698,             0.30652,            0.027931,            0.032019,            0.020408,           0.0006535,           0.0006535,           0.0006535
                  37,            0.027432,            0.045177,            0.017527,             0.64994,             0.46427,             0.46975,             0.30403,            0.028167,            0.032411,            0.020334,           0.0006436,           0.0006436,           0.0006436
                  38,            0.027451,            0.045394,            0.017628,             0.67922,             0.47459,             0.48368,             0.31626,            0.027956,             0.03243,            0.019654,           0.0006337,           0.0006337,           0.0006337
                  39,            0.027463,            0.046568,            0.017294,             0.68422,             0.46842,             0.47913,             0.30585,            0.028722,            0.032344,             0.02015,           0.0006238,           0.0006238,           0.0006238
                  40,            0.027413,            0.045265,            0.017104,             0.66256,             0.48256,             0.48475,              0.3147,              0.0281,            0.031844,            0.020001,           0.0006139,           0.0006139,           0.0006139
                  41,            0.027018,            0.044425,            0.016433,             0.66372,             0.47802,             0.48358,              0.3165,             0.02841,            0.032602,             0.01947,            0.000604,            0.000604,            0.000604
                  42,            0.026841,            0.044667,             0.01676,              0.6994,             0.47618,             0.49418,             0.32436,            0.027698,            0.031676,            0.019208,           0.0005941,           0.0005941,           0.0005941
                  43,            0.027003,            0.044434,            0.016353,             0.70414,             0.47918,             0.49847,             0.32857,            0.027534,            0.031215,            0.018464,           0.0005842,           0.0005842,           0.0005842
                  44,            0.026367,            0.044933,            0.016257,             0.71236,             0.47238,             0.49758,              0.3271,            0.027626,            0.031427,            0.018807,           0.0005743,           0.0005743,           0.0005743
                  45,            0.026687,            0.044839,            0.016092,             0.72476,             0.46676,             0.50563,             0.33296,            0.027537,            0.031896,            0.019344,           0.0005644,           0.0005644,           0.0005644
                  46,            0.026275,            0.043952,            0.015784,             0.68623,             0.50012,             0.50997,             0.33703,            0.027372,            0.031272,            0.018632,           0.0005545,           0.0005545,           0.0005545
                  47,            0.026361,            0.044287,             0.01522,             0.74455,             0.47095,             0.51478,             0.33847,            0.027275,            0.031004,            0.018569,           0.0005446,           0.0005446,           0.0005446
                  48,            0.026214,            0.043383,            0.014882,             0.72998,             0.48756,             0.51172,              0.3348,            0.027602,            0.031364,            0.018928,           0.0005347,           0.0005347,           0.0005347
                  49,            0.026147,            0.043473,            0.015396,             0.71459,             0.48222,             0.51637,             0.33887,            0.027314,            0.031553,            0.018676,           0.0005248,           0.0005248,           0.0005248
                  50,            0.025999,            0.043475,            0.014834,             0.71787,             0.50933,             0.52505,             0.33997,            0.027899,            0.031297,            0.018207,           0.0005149,           0.0005149,           0.0005149
                  51,            0.025804,            0.043737,            0.014543,             0.72181,             0.47555,             0.51196,             0.33816,            0.027248,            0.031257,            0.018712,            0.000505,            0.000505,            0.000505
                  52,            0.025569,            0.043091,            0.014792,             0.72799,             0.48645,             0.52396,             0.34377,            0.026888,            0.031281,            0.019544,           0.0004951,           0.0004951,           0.0004951
                  53,            0.025641,            0.043655,            0.014584,             0.72678,             0.48812,              0.5259,             0.34342,            0.027097,             0.03114,            0.018949,           0.0004852,           0.0004852,           0.0004852
                  54,             0.02568,            0.042373,            0.014153,             0.74476,              0.4944,             0.53421,             0.35169,            0.027023,            0.031073,            0.017861,           0.0004753,           0.0004753,           0.0004753
                  55,            0.025507,            0.042698,            0.014145,              0.7512,             0.47869,             0.52062,             0.34519,            0.026774,            0.031461,            0.018131,           0.0004654,           0.0004654,           0.0004654
                  56,            0.025277,             0.04255,            0.013732,             0.73128,             0.50807,              0.5363,             0.35791,            0.026451,            0.031336,            0.018395,           0.0004555,           0.0004555,           0.0004555
                  57,            0.025125,             0.04228,            0.013441,             0.74657,             0.50135,              0.5317,             0.35289,            0.026479,             0.03107,            0.018507,           0.0004456,           0.0004456,           0.0004456
                  58,            0.024585,            0.041697,            0.013139,             0.75116,             0.49639,             0.53862,             0.35752,            0.026679,             0.03111,            0.017822,           0.0004357,           0.0004357,           0.0004357
                  59,            0.024805,            0.042258,            0.013499,             0.74462,              0.4999,             0.53468,             0.35207,            0.026551,             0.03112,            0.018286,           0.0004258,           0.0004258,           0.0004258
                  60,            0.024846,             0.04231,             0.01317,             0.74762,             0.50708,             0.54409,             0.36527,            0.026144,             0.03091,            0.017588,           0.0004159,           0.0004159,           0.0004159
                  61,            0.024523,            0.041207,            0.013072,             0.77578,             0.49733,             0.55173,             0.36907,            0.026398,            0.030952,            0.017655,            0.000406,            0.000406,            0.000406
                  62,            0.024356,            0.041095,            0.012872,             0.75385,             0.50322,             0.55307,              0.3728,            0.026069,            0.030834,             0.01762,           0.0003961,           0.0003961,           0.0003961
                  63,            0.024096,            0.041261,            0.012572,             0.75208,             0.52485,             0.55383,             0.37093,            0.026094,            0.031075,            0.017309,           0.0003862,           0.0003862,           0.0003862
                  64,            0.024343,            0.041322,            0.012495,             0.78126,             0.49996,             0.55212,             0.37049,             0.02616,             0.03077,             0.01756,           0.0003763,           0.0003763,           0.0003763
                  65,            0.023987,             0.04097,            0.012124,             0.77116,             0.51156,             0.55349,             0.36887,            0.026416,            0.031037,            0.017587,           0.0003664,           0.0003664,           0.0003664
                  66,            0.023865,            0.040644,            0.011911,             0.76472,             0.50646,             0.55072,             0.36924,            0.026025,            0.030551,            0.017132,           0.0003565,           0.0003565,           0.0003565
                  67,            0.023686,            0.040186,            0.011672,             0.75894,             0.52205,             0.55899,             0.37532,            0.026025,            0.030741,            0.017354,           0.0003466,           0.0003466,           0.0003466
                  68,            0.023687,            0.039965,            0.011905,              0.7922,             0.50296,             0.55759,             0.37532,            0.025734,             0.03058,            0.017065,           0.0003367,           0.0003367,           0.0003367
                  69,            0.023359,            0.039968,            0.011164,              0.7654,             0.53296,             0.56451,             0.38024,            0.025739,            0.030543,            0.017359,           0.0003268,           0.0003268,           0.0003268
                  70,            0.023071,            0.039374,            0.011051,             0.77265,              0.5262,             0.56037,             0.37877,            0.025766,            0.030618,            0.017316,           0.0003169,           0.0003169,           0.0003169
                  71,             0.02308,            0.039391,            0.010927,             0.79955,             0.49862,             0.55559,             0.37556,            0.026065,            0.030938,            0.017642,            0.000307,            0.000307,            0.000307
                  72,             0.02322,            0.039289,            0.010796,             0.77765,             0.52678,             0.55792,             0.37955,            0.025644,            0.030645,            0.017389,           0.0002971,           0.0002971,           0.0002971
                  73,            0.023263,            0.039663,            0.010647,             0.78172,             0.51602,             0.56068,             0.37968,            0.025584,            0.030206,            0.017023,           0.0002872,           0.0002872,           0.0002872
                  74,            0.022957,            0.038715,            0.010696,             0.77961,             0.51824,             0.56685,             0.38322,             0.02566,            0.030385,             0.01701,           0.0002773,           0.0002773,           0.0002773
                  75,            0.022895,            0.038984,            0.010475,             0.76235,             0.53855,             0.57123,             0.38775,            0.025509,            0.030385,            0.017411,           0.0002674,           0.0002674,           0.0002674
                  76,            0.022474,            0.038696,            0.010359,             0.78919,             0.53103,             0.57355,             0.38669,            0.025717,            0.030657,            0.017498,           0.0002575,           0.0002575,           0.0002575
